################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5941437496224733E+00 a         1     0     1     1     1
 -2.5095418339774489E+00 a         2     0     1     1     2
 -1.5698459637201769E+00 a         3     0     1     1     3
 -8.8230386220269863E-01 a         4     0     1     1     4
 -4.3435391442712262E-01 a         5     0     1     1     5
 -6.9551242261073776E-01 a         6     0     1     1     6
  2.1879917837712752E+00 a         7     0     1     1     7
 -2.7453155011659618E+00 a         8     0     1     1     8
 -1.3766587792006457E+00 a         9     0     1     1     9
  4.8500224942365035E-02 a        10     0     1     1    10
 -1.2562150966148711E+00 a        11     0     1     1    11
 -7.9245171163942280E-02 a        12     0     1     1    12
 -2.8566765234812919E+00 a        13     0     1     1    13
  7.3544197137461054E-01 a        14     0     1     1    14
  2.3703313986179850E+00 a        15     0     1     1    15
  3.5256050572924047E+00 a        16     0     2     1     1
  1.3573313070730697E+00 a        17     0     2     1     2
 -1.0482265120475831E+00 a        18     0     2     1     3
  9.5839367124493191E-01 a        19     0     2     1     4
 -2.1266472199822966E+00 a        20     0     2     1     5
  1.1606083949637358E+00 a        21     0     2     1     6
 -9.4305199069683543E-01 a        22     0     2     1     7
  1.0984697445865050E+00 a        23     0     2     1     8
  1.5273381783550457E+00 a        24     0     2     1     9
 -7.9133719991263984E-01 a        25     0     2     1    10
  1.1342480635102080E-01 a        26     0     2     1    11
 -5.6670930451737456E-01 a        27     0     2     1    12
  1.7294682861856268E+00 a        28     0     2     1    13
 -2.5404414019928017E+00 a        29     0     2     1    14
 -6.2408945038040073E+00 a        30     0     2     1    15
  2.2822556844383204E+00 a        31     0     3     1     1
  4.8289203364465716E-01 a        32     0     3     1     2
 -2.0187200415500652E+00 a        33     0     3     1     3
 -3.6848217961486873E-01 a        34     0     3     1     4
  2.0867487773207714E+00 a        35     0     3     1     5
 -8.4250290170190034E-01 a        36     0     3     1     6
 -4.2609881833261531E-01 a        37     0     3     1     7
  2.5802526111500357E-01 a        38     0     3     1     8
  5.5013672263895996E-01 a        39     0     3     1     9
 -8.8892484065660682E-01 a        40     0     3     1    10
 -3.3995779647347946E-01 a        41     0     3     1    11
 -9.0369600655329019E-01 a        42     0     3     1    12
  1.4552658798993885E+00 a        43     0     3     1    13
  5.0778132089589800E-01 a        44     0     3     1    14
 -3.5915768525630560E+00 a        45     0     3     1    15
 -2.5858801862979802E-01 a        46     0     4     1     1
 -8.0994154816806685E-01 a        47     0     4     1     2
 -1.5324937057838153E+00 a        48     0     4     1     3
 -1.6732207045670786E+00 a        49     0     4     1     4
  1.8297286240643977E+00 a        50     0     4     1     5
  8.1394117925568166E-01 a        51     0     4     1     6
  8.7168474382528371E-01 a        52     0     4     1     7
  7.7001526321145874E-01 a        53     0     4     1     8
  1.0988960882105518E+00 a        54     0     4     1     9
  4.9318388062735796E-01 a        55     0     4     1    10
 -9.8091997702592226E-01 a        56     0     4     1    11
  2.7386055966061273E+00 a        57     0     4     1    12
  1.8476988329758970E+00 a        58     0     4     1    13
 -1.1821374282468646E+00 a        59     0     4     1    14
  1.2939180359619282E+00 a        60     0     4     1    15
  3.7235982623594031E+00 a        61     0     5     1     1
 -8.3510178132064505E-01 a        62     0     5     1     2
  2.6661965399493304E+00 a        63     0     5     1     3
 -1.4558405211317009E+00 a        64     0     5     1     4
  3.7544675081896434E-02 a        65     0     5     1     5
  2.0059860793861346E+00 a        66     0     5     1     6
 -4.4751417942890093E-01 a        67     0     5     1     7
  1.1831680774504667E+00 a        68     0     5     1     8
 -1.5598275402374338E+00 a        69     0     5     1     9
  1.9031868605913158E+00 a        70     0     5     1    10
 -5.0485107433815657E-01 a        71     0     5     1    11
  4.9443295163887707E-02 a        72     0     5     1    12
 -2.0960545301764125E-01 a        73     0     5     1    13
 -1.5255665248205477E+00 a        74     0     5     1    14
 -1.9043596275511796E+00 a        75     0     5     1    15
  4.7255995232912418E-01 a        76     0     6     1     1
 -1.6345141355227313E+00 a        77     0     6     1     2
 -1.1695591212708811E+00 a        78     0     6     1     3
  1.3602141434777186E+00 a        79     0     6     1     4
 -2.5952679108548982E-01 a        80     0     6     1     5
  5.5142463198573799E-01 a        81     0     6     1     6
  7.2688611825284166E-01 a        82     0     6     1     7
 -1.0413762438053642E+00 a        83     0     6     1     8
 -1.5470750454288178E+00 a        84     0     6     1     9
  5.7819812242633106E-01 a        85     0     6     1    10
  8.4346636948445064E-01 a        86     0     6     1    11
  2.2690842273529743E-01 a        87     0     6     1    12
 -1.0235932112395962E+00 a        88     0     6     1    13
  1.9226712944313062E-01 a        89     0     6     1    14
 -3.3762175083426977E+00 a        90     0     6     1    15
 -1.4493311942279419E+00 a        91     0     7     1     1
 -1.6225322583406876E-01 a        92     0     7     1     2
 -1.0357350049923322E+00 a        93     0     7     1     3
 -3.5409715904516706E-02 a        94     0     7     1     4
  1.2021841688414467E-01 a        95     0     7     1     5
  4.3201648805692822E-01 a        96     0     7     1     6
  8.3890712175203952E-01 a        97     0     7     1     7
  2.1397315951268383E+00 a        98     0     7     1     8
  1.7492521224894539E+00 a        99     0     7     1     9
 -5.5927489128750885E-01 a       100     0     7     1    10
 -1.0405746599979679E+00 a       101     0     7     1    11
  6.1079672745012492E-01 a       102     0     7     1    12
  3.9179172573687854E-01 a       103     0     7     1    13
  9.6420656801128923E-01 a       104     0     7     1    14
 -8.8521049381095951E-01 a       105     0     7     1    15
